"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2022","22.354","21.938","22.690","21.400","909.19K","2.10%"
"02/06/2022","21.893","21.359","21.932","20.849","5.15M","2.63%"
"02/05/2022","21.332","20.482","22.270","20.358","9.48M","4.21%"
"02/04/2022","20.471","18.921","20.492","18.750","9.61M","8.36%"
"02/03/2022","18.892","18.801","18.930","18.001","6.97M","0.64%"
"02/02/2022","18.772","19.576","20.580","18.599","9.33M","-4.11%"
"02/01/2022","19.576","19.395","19.996","19.180","545.81K","1.10%"
"01/31/2022","19.362","18.184","19.590","17.106","8.92M","6.48%"
"01/30/2022","18.184","18.719","18.993","17.802","246.44K","-2.77%"
"01/29/2022","18.701","18.340","19.012","18.080","5.30M","1.97%"
"01/28/2022","18.340","18.100","18.478","17.390","7.86M","1.33%"
"01/27/2022","18.100","18.089","18.389","17.170","9.96M","0.26%"
"01/26/2022","18.053","18.354","20.001","17.513","15.58M","-1.32%"
"01/25/2022","18.294","18.039","19.031","17.380","10.63M","1.48%"
"01/24/2022","18.027","18.845","18.845","15.870","1.35M","-4.22%"
"01/23/2022","18.821","18.260","19.180","17.740","12.21M","2.97%"
"01/22/2022","18.278","19.709","20.122","16.211","25.54M","-7.18%"
"01/21/2022","19.691","23.031","23.466","19.075","1.25M","-14.53%"
"01/20/2022","23.039","24.063","25.600","22.887","7.29M","-4.36%"
"01/19/2022","24.090","25.200","25.290","23.710","7.11M","-4.30%"
"01/18/2022","25.172","25.681","26.030","24.270","7.55M","-1.98%"
"01/17/2022","25.680","27.695","27.732","25.130","8.57M","-7.26%"
"01/16/2022","27.690","27.642","28.467","27.276","7.49M","0.22%"
"01/15/2022","27.630","27.744","28.400","26.862","5.78M","-0.36%"
"01/14/2022","27.731","25.776","27.860","25.576","9.87M","7.61%"
"01/13/2022","25.770","27.318","27.670","25.710","8.14M","-5.57%"
"01/12/2022","27.292","25.573","27.571","25.481","8.05M","6.72%"
"01/11/2022","25.573","23.719","26.010","23.522","574.97K","7.86%"
"01/10/2022","23.709","24.603","25.200","22.488","860.70K","-3.62%"
"01/09/2022","24.600","23.980","25.290","23.730","7.97M","2.58%"
"01/08/2022","23.982","24.839","25.522","23.136","727.08K","-3.42%"
"01/07/2022","24.831","26.699","26.795","24.269","15.25M","-7.17%"
"01/06/2022","26.747","26.669","27.322","25.540","12.03M","0.11%"
"01/05/2022","26.717","28.708","30.351","25.137","15.02M","-6.88%"
"01/04/2022","28.690","30.100","30.558","28.690","22.88M","-4.68%"
"01/03/2022","30.100","29.702","30.890","28.650","12.66M","1.34%"
"01/02/2022","29.702","28.582","30.592","27.830","423.75K","3.89%"
"01/01/2022","28.589","26.635","28.592","26.635","5.69M","7.34%"
"12/31/2021","26.635","27.560","28.110","26.247","763.22K","-3.35%"
